file,rows,cols
inspect_2026-03-28.csv,3,"['Price', 'Close', 'High', 'Low', 'Open', 'Volume']"
inspect_2026-03-29.csv,3,"['Price', 'Close', 'High', 'Low', 'Open', 'Volume']"
inspect_none.csv,3,"['Price', 'Close', 'High', 'Low', 'Open', 'Volume']"
inspect_summary.csv,3,"['file', 'rows', 'cols']"
