Price,Close,High,Low,Open,Volume
Ticker,XU030.IS,XU030.IS,XU030.IS,XU030.IS,XU030.IS
Date,,,,,
2010-01-04,675.614013671875,676.1129760742188,663.3070068359375,669.6430053710938,27720000
2010-01-05,685.7420043945312,690.302001953125,677.60498046875,678.7999877929688,37590000
2010-01-06,689.2990112304688,690.8280029296875,680.0349731445312,684.4030151367188,27430000
2010-01-07,694.2780151367188,694.2780151367188,681.083984375,686.1079711914062,29520000
2010-01-08,691.4769897460938,704.4970092773438,688.7009887695312,697.655029296875,42670000
2010-01-11,678.6699829101562,698.635986328125,676.5260009765625,695.093994140625,43750000
2010-01-12,674.4710083007812,682.8980102539062,672.1010131835938,681.177978515625,28630000
2010-01-13,686.6010131835938,688.0469970703125,669.5859985351562,671.93798828125,31500000
2010-01-14,687.7960205078125,694.97900390625,684.4000244140625,694.6170043945312,38020000
2010-01-15,677.385986328125,688.1339721679688,672.0599975585938,688.1339721679688,40750000
2010-01-18,683.6019897460938,684.6810302734375,674.93798828125,676.8079833984375,22310000
2010-01-19,692.0750122070312,692.8779907226562,676.3759765625,684.77099609375,35750000
2010-01-20,697.18701171875,702.75,687.2849731445312,691.2009887695312,46010000
2010-01-21,695.0020141601562,701.2630004882812,691.4959716796875,697.14599609375,30840000
2010-01-22,678.781005859375,687.02099609375,671.9030151367188,685.0850219726562,25370000
2010-01-25,681.9080200195312,683.5339965820312,673.0289916992188,673.6199951171875,21700000
2010-01-26,682.3939819335938,682.3939819335938,666.8489990234375,672.8820190429688,24070000
2010-01-27,677.9990234375,690.6690063476562,675.4359741210938,679.0819702148438,32810000
2010-01-28,686.9089965820312,690.9359741210938,682.5819702148438,684.4660034179688,26250000
2010-01-29,684.8369750976562,689.2429809570312,674.781005859375,682.8499755859375,28440000
2010-02-01,695.6690063476562,695.698974609375,681.7969970703125,684.9089965820312,42990000
2010-02-02,690.6929931640625,697.052978515625,686.6430053710938,696.5560302734375,28620000
2010-02-03,688.594970703125,698.0399780273438,687.0009765625,693.4340209960938,25610000
2010-02-04,667.760986328125,687.7030029296875,664.3179931640625,684.7529907226562,37270000
2010-02-05,643.8729858398438,662.1849975585938,639.7379760742188,661.697021484375,50610000
2010-02-08,624.4710083007812,648.114013671875,617.5809936523438,645.4910278320312,40300000
2010-02-09,634.52099609375,639.1519775390625,626.7160034179688,631.6170043945312,30610000
2010-02-10,630.052001953125,644.9650268554688,626.9949951171875,638.75,31340000
2010-02-11,639.7780151367188,642.7680053710938,629.4879760742188,638.1829833984375,26810000
2010-02-12,634.8400268554688,648.3909912109375,630.0159912109375,645.7169799804688,30530000
2010-02-15,636.864990234375,640.4030151367188,633.02001953125,633.02001953125,24750000
2010-02-16,642.7769775390625,645.9619750976562,635.9110107421875,641.927978515625,19780000
2010-02-17,662.06298828125,662.06298828125,648.8179931640625,650.6909790039062,32440000
2010-02-18,650.8720092773438,657.3280029296875,645.697998046875,657.3280029296875,23180000
2010-02-19,663.3070068359375,663.3070068359375,636.9749755859375,639.823974609375,35600000
2010-02-22,653.4949951171875,673.7329711914062,649.7630004882812,669.7139892578125,27270000
2010-02-23,637.7490234375,660.4520263671875,634.4929809570312,657.4500122070312,25940000
2010-02-24,617.6199951171875,633.7949829101562,606.676025390625,629.2349853515625,39870000
2010-02-25,604.7310180664062,628.68798828125,597.322021484375,619.833984375,45490000
2010-02-26,615.4199829101562,620.3419799804688,601.27001953125,617.7410278320312,35470000
2010-03-01,632.3709716796875,632.4910278320312,620.5889892578125,625.4180297851562,35120000
2010-03-02,636.3579711914062,641.60302734375,627.3150024414062,631.6220092773438,31520000
2010-03-03,640.3150024414062,641.5869750976562,630.0889892578125,635.6489868164062,25810000
2010-03-04,636.2340087890625,640.073974609375,631.8380126953125,633.5349731445312,21880000
2010-03-05,652.3400268554688,652.3400268554688,636.2630004882812,638.3300170898438,30380000
2010-03-08,661.0659790039062,661.4450073242188,650.5189819335938,658.7230224609375,28790000
2010-03-09,656.843017578125,664.7869873046875,647.291015625,659.6539916992188,26920000
2010-03-10,655.0469970703125,658.0380249023438,646.9710083007812,648.8790283203125,22470000
2010-03-11,650.2550048828125,657.9329833984375,645.7130126953125,654.2100219726562,17230000
2010-03-12,648.6329956054688,656.7319946289062,645.0599975585938,654.0999755859375,18540000
2010-03-15,645.2919921875,650.2979736328125,642.6929931640625,648.3040161132812,15400000
2010-03-16,661.9650268554688,662.8170166015625,646.7130126953125,648.3709716796875,29570000
2010-03-17,676.2210083007812,676.8880004882812,665.39697265625,666.9630126953125,30850000
2010-03-18,667.260986328125,674.8900146484375,663.1129760742188,674.8900146484375,26050000
2010-03-19,666.927001953125,672.9940185546875,663.9010009765625,670.7039794921875,24000000
2010-03-22,671.3980102539062,671.3980102539062,661.7470092773438,662.1820068359375,36350000
2010-03-23,677.8579711914062,681.9710083007812,672.3359985351562,672.3359985351562,28940000
2010-03-24,690.6329956054688,693.2429809570312,677.969970703125,681.2490234375,50930000
2010-03-25,717.9609985351562,717.9609985351562,690.68701171875,692.8410034179688,50970000
2010-03-26,711.6729736328125,726.364990234375,705.677001953125,717.2379760742188,40460000
2010-03-29,711.6820068359375,721.64599609375,706.27099609375,717.906982421875,22930000
2010-03-30,712.5369873046875,717.7650146484375,708.4630126953125,713.2969970703125,28140000
2010-03-31,709.5989990234375,723.718017578125,706.3670043945312,710.708984375,37750000
2010-04-01,725.6430053710938,726.0360107421875,711.8889770507812,713.7680053710938,24150000
2010-04-02,731.0120239257812,735.8909912109375,724.7579956054688,726.2789916992188,16860000
2010-04-05,738.7570190429688,743.3939819335938,732.7169799804688,736.9130249023438,17420000
2010-04-06,734.0399780273438,739.656005859375,725.2930297851562,733.1500244140625,24820000
2010-04-07,737.594970703125,738.2130126953125,728.3150024414062,735.427978515625,20810000
2010-04-08,733.5670166015625,735.5689697265625,726.2839965820312,729.6110229492188,21600000
2010-04-09,743.3820190429688,749.8880004882812,737.9249877929688,738.7039794921875,27420000
2010-04-12,738.8380126953125,750.6430053710938,735.3460083007812,750.0599975585938,27470000
2010-04-13,727.8809814453125,740.9299926757812,723.7440185546875,735.2919921875,21330000
2010-04-14,746.2579956054688,746.2579956054688,732.9359741210938,735.093994140625,41850000
2010-04-15,742.4199829101562,752.2529907226562,736.6950073242188,750.5360107421875,57430000
2010-04-16,729.9000244140625,744.0889892578125,726.4530029296875,733.6010131835938,66190000
2010-04-19,729.4619750976562,731.6849975585938,710.9879760742188,717.9089965820312,43020000
2010-04-20,737.8070068359375,741.1370239257812,731.5130004882812,732.2899780273438,33210000
2010-04-21,730.593994140625,745.5850219726562,726.9979858398438,743.677978515625,35980000
2010-04-22,727.7319946289062,736.7509765625,721.2119750976562,732.0859985351562,30160000
2010-04-26,736.1069946289062,743.6810302734375,730.2059936523438,742.3770141601562,27090000
2010-04-27,724.4959716796875,735.3560180664062,722.1259765625,734.7739868164062,21960000
2010-04-28,721.906982421875,724.1389770507812,708.3389892578125,713.4000244140625,35920000
2010-04-29,730.9509887695312,732.2039794921875,720.4639892578125,724.4329833984375,24110000
2010-04-30,734.697021484375,739.6810302734375,720.6640014648438,732.3289794921875,31540000
2010-05-03,726.8889770507812,735.02001953125,725.969970703125,731.9769897460938,30730000
2010-05-04,714.0709838867188,733.4920043945312,707.8829956054688,729.3839721679688,38120000
2010-05-05,704.1170043945312,717.4619750976562,699.3679809570312,713.52001953125,40710000
2010-05-06,694.5659790039062,709.666015625,692.7639770507812,701.47900390625,31030000
2010-05-07,658.4459838867188,678.8829956054688,657.0120239257812,671.072021484375,55930000
2010-05-10,705.9420166015625,708.5289916992188,687.2930297851562,687.2930297851562,45510000
2010-05-11,705.1640014648438,706.2150268554688,692.447998046875,700.9509887695312,28690000
2010-05-12,726.281982421875,727.77001953125,706.281005859375,706.3820190429688,46450000
2010-05-13,725.6939697265625,736.3380126953125,718.4550170898438,734.2100219726562,37070000
2010-05-14,696.6309814453125,727.5809936523438,694.4390258789062,723.6820068359375,36360000
2010-05-17,702.8209838867188,703.4019775390625,680.93701171875,686.0830078125,35460000
2010-05-18,714.4140014648438,715.9769897460938,702.4320068359375,711.0339965820312,31890000
2010-05-20,681.375,705.760986328125,678.802978515625,699.1119995117188,35800000
2010-05-21,676.9840087890625,688.8809814453125,667.447021484375,683.593017578125,57170000
2010-05-24,681.9140014648438,688.4840087890625,671.3679809570312,680.6939697265625,37210000
2010-05-25,651.4959716796875,666.3300170898438,645.9359741210938,664.77197265625,40950000
2010-05-26,676.1749877929688,678.1950073242188,652.7990112304688,661.4910278320312,50240000
2010-05-27,681.6190185546875,682.927001953125,672.9539794921875,674.083984375,59750000
2010-05-28,692.4970092773438,695.2789916992188,683.8350219726562,689.3330078125,39550000
2010-05-31,681.7589721679688,683.8820190429688,674.885986328125,680.4860229492188,21680000
2010-06-01,680.718017578125,683.3070068359375,666.6129760742188,679.2360229492188,34410000
2010-06-02,690.5449829101562,691.655029296875,674.0050048828125,676.3579711914062,42500000
2010-06-03,694.6229858398438,706.7479858398438,692.8419799804688,703.4860229492188,45270000
2010-06-04,685.2960205078125,699.2780151367188,678.25,694.3569946289062,34880000
2010-06-07,681.6950073242188,683.22998046875,667.0900268554688,669.3499755859375,28580000
2010-06-08,672.1599731445312,687.7119750976562,669.39599609375,682.7119750976562,38090000
2010-06-09,681.166015625,683.85302734375,669.3939819335938,677.68701171875,29530000
2010-06-10,688.4829711914062,691.8099975585938,673.8489990234375,679.822021484375,30220000
2010-06-11,692.81298828125,696.552978515625,685.0549926757812,692.7769775390625,24540000
2010-06-14,700.593994140625,704.5889892578125,693.093994140625,699.7540283203125,19090000
2010-06-15,710.5640258789062,711.8720092773438,694.1170043945312,694.5919799804688,27170000
2010-06-16,709.0239868164062,720.010009765625,705.0759887695312,717.1389770507812,23470000
2010-06-17,716.0,726.1420288085938,708.7789916992188,710.2659912109375,27180000
2010-06-18,718.2410278320312,723.72802734375,711.4219970703125,718.9450073242188,24230000
2010-06-21,722.2760009765625,728.6790161132812,713.3909912109375,728.5460205078125,22530000
2010-06-22,718.5889892578125,721.135009765625,711.1669921875,713.0609741210938,18590000
2010-06-23,703.197998046875,715.916015625,699.8109741210938,714.8980102539062,21090000
2010-06-24,702.7990112304688,709.2219848632812,695.2689819335938,706.6510009765625,18800000
2010-06-25,701.9959716796875,707.9920043945312,698.926025390625,701.802001953125,14810000
2010-06-28,710.2570190429688,713.6099853515625,703.239990234375,704.6380004882812,16120000
2010-06-29,693.5850219726562,707.5070190429688,689.677001953125,704.802978515625,19580000
2010-06-30,687.7059936523438,703.4719848632812,683.8729858398438,695.2990112304688,20530000
2010-07-01,683.7470092773438,689.135009765625,676.1439819335938,679.6259765625,22510000
2010-07-02,700.5960083007812,700.5960083007812,686.5289916992188,688.35400390625,22560000
2010-07-05,701.5560302734375,707.02099609375,698.1680297851562,701.593017578125,11710000
2010-07-06,718.1840209960938,718.8790283203125,704.218017578125,705.1240234375,23820000
2010-07-07,716.8709716796875,719.5440063476562,705.4149780273438,712.5670166015625,23310000
2010-07-08,723.7919921875,728.68701171875,720.0640258789062,725.385009765625,24520000
2010-07-09,719.1699829101562,729.8309936523438,711.7470092773438,727.5349731445312,19330000
2010-07-12,726.5289916992188,727.114013671875,713.3359985351562,719.75,22270000
2010-07-13,737.14599609375,739.989013671875,721.7490234375,725.2210083007812,32140000
2010-07-14,737.697998046875,744.8699951171875,734.4530029296875,743.927978515625,26930000
2010-07-15,727.64697265625,748.0040283203125,725.2039794921875,736.5460205078125,31240000
2010-07-16,728.4439697265625,741.6270141601562,727.8699951171875,730.3289794921875,22160000
2010-07-19,732.3380126953125,737.6199951171875,723.9030151367188,723.9030151367188,22360000
2010-07-20,734.8259887695312,742.6409912109375,723.5239868164062,737.14697265625,21390000
2010-07-21,751.947021484375,754.6209716796875,737.2349853515625,739.510986328125,29600000
2010-07-22,758.5689697265625,761.3610229492188,749.1649780273438,749.1649780273438,28300000
2010-07-23,749.4550170898438,761.5609741210938,745.1090087890625,758.9650268554688,22810000
2010-07-26,752.8709716796875,754.448974609375,744.3489990234375,753.6719970703125,19370000
2010-07-27,765.3330078125,770.7150268554688,756.2210083007812,756.2210083007812,34020000
2010-07-28,766.3800048828125,770.7979736328125,760.625,769.5560302734375,36100000
2010-07-29,771.9669799804688,774.8499755859375,767.6680297851562,769.0159912109375,33200000
2010-07-30,759.9509887695312,769.906982421875,749.9299926757812,768.9609985351562,27230000
2010-08-02,770.9860229492188,772.8319702148438,760.551025390625,766.9860229492188,24210000
2010-08-03,760.5070190429688,771.4180297851562,756.5919799804688,771.4180297851562,22230000
2010-08-04,756.468994140625,767.5490112304688,755.7119750976562,758.2130126953125,26820000
2010-08-05,751.7080078125,760.2999877929688,743.3070068359375,757.093994140625,25650000
2010-08-06,754.1829833984375,763.35400390625,744.8270263671875,755.9299926757812,19360000
2010-08-09,754.7960205078125,763.802001953125,753.39697265625,762.7830200195312,21430000
2010-08-10,744.7650146484375,752.5180053710938,740.8619995117188,752.2990112304688,19760000
2010-08-11,730.97998046875,740.739013671875,724.5789794921875,737.9769897460938,22420000
2010-08-12,734.1810302734375,735.8900146484375,727.9340209960938,731.0609741210938,23570000
2010-08-13,735.8200073242188,743.4299926757812,730.2459716796875,739.9639892578125,21040000
2010-08-16,742.0339965820312,743.9340209960938,731.281005859375,738.1240234375,18430000
2010-08-17,751.2239990234375,753.77099609375,742.4390258789062,744.1420288085938,24900000
2010-08-18,751.2420043945312,756.8319702148438,743.9979858398438,750.114990234375,35330000
2010-08-19,743.823974609375,757.135986328125,740.0469970703125,753.9039916992188,27890000
2010-08-20,742.6019897460938,747.031982421875,737.093994140625,741.9940185546875,22000000
2010-08-23,743.7620239257812,747.3200073242188,737.541015625,742.1619873046875,19610000
2010-08-24,739.5159912109375,741.8099975585938,731.5989990234375,740.6179809570312,22040000
2010-08-25,735.4290161132812,746.1019897460938,730.2160034179688,737.6069946289062,22040000
2010-08-26,746.5900268554688,746.5900268554688,736.4099731445312,738.135009765625,17280000
2010-08-27,751.0650024414062,755.5180053710938,745.8569946289062,747.1129760742188,21290000
2010-08-31,759.3189697265625,759.3189697265625,743.6199951171875,745.8679809570312,22820000
2010-09-01,769.4630126953125,771.1619873046875,753.4810180664062,761.2520141601562,26610000
2010-09-02,771.3569946289062,773.6950073242188,764.8909912109375,770.114013671875,25270000
2010-09-03,773.801025390625,777.2579956054688,768.7739868164062,772.1630249023438,29020000
2010-09-06,775.1290283203125,776.2139892578125,767.405029296875,773.3610229492188,12660000
2010-09-07,770.35400390625,775.6829833984375,765.3909912109375,771.4929809570312,13220000
2010-09-08,769.0549926757812,772.8170166015625,764.239013671875,767.7449951171875,7600000
2010-09-13,789.9249877929688,789.9249877929688,778.8790283203125,786.60302734375,31720000
2010-09-14,791.916015625,792.968017578125,785.2130126953125,789.2160034179688,30680000
2010-09-15,804.6929931640625,804.6929931640625,789.0910034179688,791.7020263671875,42300000
2010-09-16,807.833984375,807.833984375,795.219970703125,800.8519897460938,34500000
2010-09-17,809.8870239257812,818.4030151367188,804.5189819335938,812.3159790039062,36750000
2010-09-20,813.8920288085938,814.2130126953125,802.9329833984375,811.364013671875,34630000
2010-09-21,811.2990112304688,816.7490234375,807.8159790039062,815.2919921875,25800000
2010-09-22,817.52197265625,823.7559814453125,805.489990234375,811.2249755859375,27410000
2010-09-23,812.5289916992188,821.06201171875,800.8699951171875,817.9450073242188,36540000
2010-09-24,813.3839721679688,814.8670043945312,803.9910278320312,810.322998046875,23720000
2010-09-27,819.5440063476562,822.64599609375,812.06298828125,816.5059814453125,35000000
2010-09-28,833.3870239257812,833.3870239257812,814.1820068359375,816.2440185546875,37300000
2010-09-29,833.4099731445312,840.7340087890625,826.1849975585938,833.1849975585938,37530000
2010-09-30,836.8880004882812,840.7440185546875,828.8109741210938,831.281005859375,31650000
2010-10-01,823.9019775390625,840.9199829101562,821.6859741210938,836.5399780273438,21940000
2010-10-04,830.166015625,835.4110107421875,820.4970092773438,825.2039794921875,23320000
2010-10-05,842.2650146484375,845.864990234375,828.176025390625,831.8579711914062,38490000
2010-10-06,850.8989868164062,855.6400146484375,845.5269775390625,848.39599609375,31970000
2010-10-07,848.4450073242188,857.06298828125,845.718017578125,851.2009887695312,28540000
2010-10-08,855.2849731445312,858.5700073242188,838.5250244140625,847.198974609375,28450000
2010-10-11,880.9849853515625,882.2329711914062,859.3150024414062,859.3150024414062,39940000
2010-10-12,891.2340087890625,899.073974609375,872.7050170898438,872.9110107421875,49290000
2010-10-13,897.56298828125,905.77099609375,890.1370239257812,896.2119750976562,87000000
2010-10-14,883.9669799804688,907.1580200195312,882.4619750976562,901.6079711914062,61820000
2010-10-15,894.3699951171875,902.2319946289062,875.1060180664062,886.2119750976562,46130000
2010-10-18,896.6530151367188,903.9349975585938,889.166015625,892.2780151367188,47140000
2010-10-19,888.573974609375,899.2949829101562,881.8889770507812,894.6530151367188,40920000
2010-10-20,881.2169799804688,895.8590087890625,878.7830200195312,883.0040283203125,35600000
2010-10-21,897.2570190429688,898.239990234375,879.4970092773438,884.5029907226562,52880000
2010-10-22,904.5640258789062,909.3270263671875,890.9249877929688,898.10400390625,32630000
2010-10-25,901.1719970703125,914.85498046875,900.0709838867188,911.0469970703125,49910000
2010-10-26,897.760986328125,903.3109741210938,890.9099731445312,900.697021484375,24950000
2010-10-27,868.4619750976562,897.8920288085938,862.7360229492188,896.9089965820312,31120000
2010-10-28,871.1749877929688,872.6890258789062,853.2890014648438,871.6320190429688,15220000
2010-11-01,877.239990234375,886.625,874.9920043945312,881.3790283203125,29660000
2010-11-02,869.9879760742188,890.7119750976562,864.6669921875,875.1370239257812,40230000
2010-11-03,869.9609985351562,874.6939697265625,865.0830078125,872.3289794921875,45450000
2010-11-04,902.5349731445312,903.1690063476562,875.072021484375,875.885009765625,56860000
2010-11-05,900.5430297851562,909.0900268554688,898.8159790039062,904.0449829101562,41060000
2010-11-08,903.0709838867188,903.3920288085938,890.4619750976562,894.7999877929688,34190000
2010-11-09,912.4990234375,913.0399780273438,899.5670166015625,902.552978515625,44100000
2010-11-10,897.9609985351562,913.8809814453125,897.10400390625,911.8870239257812,46910000
2010-11-11,888.7239990234375,904.8300170898438,885.3179931640625,902.5020141601562,37270000
2010-11-12,880.7969970703125,880.7969970703125,868.5440063476562,872.3679809570312,38640000
2010-11-15,886.0609741210938,887.1929931640625,873.5250244140625,877.552001953125,8960000
2010-11-22,854.5759887695312,901.3189697265625,854.5759887695312,901.1929931640625,38620000
2010-11-23,836.405029296875,852.2949829101562,832.18701171875,844.301025390625,40710000
2010-11-24,850.1580200195312,852.6719970703125,824.0159912109375,842.3350219726562,53810000
2010-11-25,847.9569702148438,849.6329956054688,840.0180053710938,849.6329956054688,28760000
2010-11-26,833.2650146484375,840.7039794921875,823.7119750976562,840.7039794921875,31050000
2010-11-29,804.8270263671875,838.8930053710938,802.4520263671875,837.072998046875,42660000
2010-11-30,823.10400390625,824.594970703125,804.4520263671875,804.4630126953125,47690000
2010-12-01,832.4359741210938,840.1019897460938,821.947021484375,825.5659790039062,38530000
2010-12-02,842.68701171875,850.281005859375,828.18701171875,837.5689697265625,61380000
2010-12-03,839.6680297851562,850.260009765625,838.0570068359375,840.93798828125,50910000
2010-12-06,850.8759765625,851.8629760742188,841.89599609375,843.6099853515625,31550000
2010-12-07,852.8270263671875,862.1329956054688,850.1950073242188,852.5369873046875,40970000
2010-12-08,849.7020263671875,857.1370239257812,842.8930053710938,846.1329956054688,36120000
2010-12-09,822.9290161132812,854.8179931640625,818.1279907226562,854.010009765625,54130000
2010-12-10,805.8300170898438,825.7999877929688,803.823974609375,824.2670288085938,53400000
2010-12-13,827.8319702148438,828.0700073242188,799.31298828125,810.1920166015625,55240000
2010-12-14,829.7830200195312,836.9979858398438,820.0339965820312,829.5590209960938,44000000
