Date,open,high,low,close,volume,openinterest,daily_return
2026-03-13,13253.2998046875,13259.099609375,12944.7001953125,13092.900390625,10364200000,0.0,-0.01454145493638137
2026-03-16,13119.900390625,13137.7001953125,12880.0,12956.7001953125,5958000000,0.0,-0.01040259921400033
2026-03-17,13008.2998046875,13253.599609375,12994.7998046875,13217.599609375,5805700000,0.0,0.02013625461187174
2026-03-18,13260.099609375,13298.5,13062.2998046875,13115.099609375,5822700000,0.0,-0.007754811995311028
2026-03-19,13035.400390625,13109.7001953125,12981.0,13047.7001953125,2243800000,0.0,-0.0051390699323641265
2026-03-23,12853.099609375,13168.2001953125,12632.400390625,13168.2001953125,11038400000,0.0,0.009235344022028524
2026-03-24,13104.599609375,13136.599609375,12908.900390625,12930.2001953125,5722100000,0.0,-0.018073844296863095
2026-03-25,13029.2998046875,13100.400390625,12961.5,12963.900390625,6379900000,0.0,0.002606316592431268
2026-03-26,12911.400390625,12978.400390625,12716.7998046875,12727.099609375,6734900000,0.0,-0.018266167905859998
2026-03-27,12803.0,12825.0,12601.599609375,12698.2001953125,4888600000,0.0,-0.0022706991340911697
