n,m,total_return,annualized_return,volatility,sharpe,max_drawdown
1,1,-0.24334307041439396,-0.017121098372929078,0.16461826247386835,-0.0221225400928502,0.7311313837489244
1,2,5.237206257260945,0.12004396848909993,0.19570193172391126,0.6776594800907215,0.396049131023913
1,3,10.367442145307264,0.1624625385589249,0.21434262106729754,0.8100421259877116,0.3180497878393707
1,4,16.285180427225654,0.1930296115151442,0.22365520663125635,0.9016490881570914,0.3059290433782493
1,5,18.791519643403234,0.20307618351696632,0.2287608875612404,0.9232676748851553,0.3050195056370567
1,6,19.12726563073247,0.20433020788434386,0.23266886051407584,0.9161571188713998,0.3119133212659681
1,7,18.141307808836476,0.20058981142253884,0.23446292804926558,0.897703025091794,0.3551424814677748
1,8,19.35228381397418,0.2051597231195652,0.2358830842113597,0.909917132679615,0.34421911115612935
1,9,21.342813990945285,0.2121444375389585,0.24000337429022076,0.9224781530570137,0.33297715399159683
1,10,21.342813990945285,0.2121444375389585,0.24000337429022076,0.9224781530570137,0.33297715399159683
2,1,0.8058868668365349,0.03728303743115502,0.11349034324915284,0.3795914638336948,0.3844967647391022
2,2,7.154409698345718,0.1387911123538812,0.1578361089228557,0.9029310853365495,0.44116942772659334
2,3,10.099168159286085,0.16074438364903432,0.18910924643247973,0.8833062460589025,0.31776207981945104
2,4,13.81290469431408,0.1816795352606626,0.2085035011221772,0.9055733935300646,0.31861813519463167
2,5,16.826346473833215,0.19530955423980245,0.21971044621359953,0.9225596514685321,0.2943432063451183
2,6,19.192052361463947,0.2045699282366149,0.22754050567613757,0.9324711230187938,0.32231304537339134
2,7,18.353483173988007,0.2014097534526469,0.23060621090118177,0.911769656846207,0.32685155407793615
2,8,20.28603035648938,0.2085124605460995,0.2340627179731326,0.9270384269913877,0.30815244039872836
2,9,21.167205975004535,0.2115522218520458,0.23983512209943234,0.9209163997356085,0.33268596404825024
2,10,21.167205975004535,0.2115522218520458,0.23983512209943234,0.9209163997356085,0.33268596404825024
3,1,-0.09822165204221867,-0.006382446023916355,0.08534359326205411,-0.031993904493645066,0.342074819158547
3,2,4.535646093193234,0.11179741849242908,0.12994047219441102,0.8809310937185827,0.2998787585828311
3,3,7.163126812178705,0.13886646863365537,0.16484712071446123,0.8717373764465974,0.2937521310707373
3,4,10.067169210514782,0.1605368527896005,0.1932668702357248,0.8676543393946049,0.32631168178861136
3,5,14.057487744692374,0.18287864229964224,0.20928044206813662,0.9078758272131843,0.30548640425560214
3,6,17.732670312465682,0.1989863391036506,0.22320794615276815,0.9253695391565164,0.3239390845133293
3,7,17.972205935798737,0.19993019653524646,0.22861890445781288,0.9122828645412512,0.3477023545838051
3,8,18.3615122446348,0.20144061556523618,0.23253487815380552,0.9063485726014239,0.31964831674623245
3,9,20.988726104964623,0.21094579444381312,0.24062111177130183,0.9166163046492118,0.3340737958624214
3,10,20.988726104964623,0.21094579444381312,0.24062111177130183,0.9166163046492118,0.3340737958624214
4,1,-0.18585822826838516,-0.012653699019185227,0.07009732896404243,-0.14612897167066244,0.3653903596222651
4,2,2.778327333558406,0.08580823726470266,0.1096878455134753,0.805829323223545,0.24881011709790016
4,3,4.405015233813876,0.11015429487775852,0.1435991161033798,0.7999790372165446,0.3728374704827737
4,4,10.654925223006865,0.16426200028952453,0.17880178298515212,0.9407311344611178,0.28267747754772854
4,5,16.062923184989142,0.19207378459712765,0.19719563739304943,0.990312332438687,0.2964679151590907
4,6,24.378912393210726,0.22174725171564225,0.21039160149044747,1.0579065367363583,0.2863254100461755
4,7,20.0739872598239,0.20776337575205117,0.22240668892955853,0.9607389862293202,0.3539520543719966
4,8,19.138083447675545,0.20437028567962479,0.23013707131605252,0.9239594301671984,0.3222571305647604
4,9,22.392338492936002,0.21559534565117033,0.2381442968987101,0.9397484981987716,0.3319613453582014
4,10,22.392338492936002,0.21559534565117033,0.2381442968987101,0.9397484981987716,0.3319613453582014
5,1,0.08312903206333533,0.0049577478688487275,0.05599678346988869,0.11673694614047554,0.18758224190778805
5,2,2.9986888665435103,0.08962677923971851,0.09300703813587058,0.9698315164074279,0.16732021115754175
5,3,3.53065172763932,0.09808796634897665,0.12401514861667629,0.8169664300652593,0.320518125493726
5,4,5.008285102744329,0.11745315914731935,0.15925204152241096,0.7776189710436047,0.3664390693221143
5,5,7.743531071916593,0.1437214014739676,0.18314254544598382,0.8254520720675832,0.3011955713357493
5,6,14.871379256724016,0.18674136880441794,0.20322081850651133,0.9447699437214369,0.30115066969242404
5,7,14.654833892901143,0.18573212032091635,0.21734640278477482,0.8932324123174246,0.3706168514961663
5,8,15.405329541626642,0.1891757870430062,0.2264231700146038,0.8792634205242802,0.38542107136694925
5,9,20.422152634258087,0.2089896592904712,0.23671030910076193,0.9209791218172477,0.334508762165834
5,10,20.422152634258087,0.2089896592904712,0.23671030910076193,0.9209791218172477,0.334508762165834
6,1,0.22608000895988756,0.012703051417294553,0.04481050494892909,0.30440896892439134,0.2095556062736182
6,2,2.235405933957866,0.07542652785622073,0.07411803607073401,1.0184179849522743,0.12162324247063605
6,3,3.998563085083152,0.10479234116598302,0.10012344097094286,1.0457929094552756,0.24790174322004613
6,4,5.356616609373142,0.12136019425668865,0.12563749187234322,0.9749880649108528,0.26896516461328174
6,5,7.072323457318015,0.138077776852656,0.14483706827155568,0.9660081174495031,0.21883129665642742
6,6,6.975644468900902,0.13722885039989285,0.16606526561800697,0.8580757424850974,0.2697584564658361
6,7,5.997166787811951,0.12804766709103,0.18393729125624625,0.7477523024246263,0.4436588763510546
6,8,6.3391182776959605,0.13138594411200888,0.1962439536922818,0.7279911821327169,0.45571165350743487
6,9,18.825416153642443,0.20320369027449892,0.23482885732664296,0.9060127190564071,0.33209321850432766
6,10,18.825416153642443,0.20320369027449892,0.23482885732664296,0.9060127190564071,0.33209321850432766
7,1,0.12735249614916677,0.0074514969499277495,0.04189465692269129,0.1985333167437956,0.21623498398455504
7,2,0.9476234254626459,0.042148313251603176,0.06403032217624177,0.6770661810106032,0.22896166619435887
7,3,2.5546593275925265,0.08171248858395486,0.09020633641720793,0.9162446628980805,0.35142202370725234
7,4,2.5341692461342533,0.08132527786704413,0.11022846005898901,0.7648616051068148,0.272052081246418
7,5,6.794208370471543,0.13560929239135544,0.13602670726905103,1.0034803079561485,0.23512937503132517
7,6,5.474852996764859,0.12264082197442905,0.16008869179285104,0.8033268022176431,0.28302730214955035
7,7,4.691542557213383,0.11371138890704158,0.1812088994902872,0.6856514999137528,0.44787916970859576
7,8,6.118814651529861,0.12925244299196414,0.19606812528300552,0.7188335695957565,0.45981619983845756
7,9,18.79592053041481,0.20309274967372004,0.23439717546726263,0.9068520747653935,0.33128222581620437
7,10,18.79592053041481,0.20309274967372004,0.23439717546726263,0.9068520747653935,0.33128222581620437
8,1,0.03438451099736217,0.0020958912182493794,0.033766561377372016,0.07920410011660632,0.1292530630832787
8,2,0.8482059885615263,0.03877215214775642,0.05504048271424205,0.7188019232786086,0.11985089725623306
8,3,1.2030512329479128,0.05013247493358741,0.07667008458268026,0.6767629950523991,0.24564785671471767
8,4,0.8701438177676395,0.0395315516172674,0.09499141475180384,0.45606341374771364,0.26653170595447156
8,5,3.8759689894337885,0.10309462554115978,0.12785517222384965,0.8318826347147414,0.24739766390261417
8,6,4.043154990101501,0.10540018750208935,0.1429409437196217,0.7731659819110074,0.2951414030179914
8,7,4.817733691052417,0.11522498043102236,0.1729333024212063,0.7177462999634416,0.3191272186749256
8,8,5.993237794313983,0.1280084284649392,0.18828027046553686,0.7346704160489447,0.33419627301556637
8,9,17.09992554709749,0.19643754928112744,0.23302591721908802,0.8869878751462484,0.33155515308709765
8,10,17.09992554709749,0.19643754928112744,0.23302591721908802,0.8869878751462484,0.33155515308709765
9,1,-0.08060083034062071,-0.005190902793603569,0.03160771615275463,-0.14849726938169397,0.17301682859618123
9,2,0.7510045610029485,0.035302325327576156,0.050836338029966587,0.7080409823199109,0.13292114316996517
9,3,0.7836451094640347,0.036487225762349196,0.0714215639958267,0.5379035281689614,0.2594225839322228
9,4,0.7347344511926623,0.034703936785450695,0.08926858812499378,0.42722616686258846,0.2715062421140206
9,5,4.32969771936735,0.10918991052033977,0.12099925271724411,0.9175218952720534,0.20128279161531804
9,6,4.580407412070957,0.11235208432148136,0.13197237769591422,0.8734976516249072,0.2189141590709088
9,7,5.638251958283719,0.12437496583416863,0.15882414383495463,0.8182314637044484,0.28893488502645964
9,8,7.599312156393426,0.14254392732500665,0.1685755121420339,0.8755907782032323,0.30446682356605587
9,9,19.757181198395113,0.20663091592503302,0.22293608408811047,0.9548369509829093,0.33285852960768453
9,10,19.757181198395113,0.20663091592503302,0.22293608408811047,0.9548369509829093,0.33285852960768453
10,1,-0.10827300155191844,-0.007071951339307381,0.030158985430588633,-0.21985565196083345,0.1660544034388364
10,2,0.47577961491844456,0.024395791608977202,0.046712322990094056,0.5395362575657692,0.14973289338240053
10,3,0.5597843980467443,0.027914075495498514,0.06763659900143235,0.44131603419252013,0.28408245624112594
10,4,0.5461618888823012,0.0273558011772963,0.08612927143934807,0.3568589248266534,0.2778861977154753
10,5,4.6299955106912805,0.1129617098802691,0.11273535371599124,1.00617811704511,0.20140788504823834
10,6,5.022022381169749,0.11761122099311838,0.12498674168843957,0.9527489547969078,0.20394519171210448
10,7,6.229492275800628,0.13033190947039852,0.1527724371381999,0.8789565104647279,0.29466792312307105
10,8,7.432343306740034,0.14115734839154115,0.16838251550747868,0.8691855214280714,0.3099522351266739
10,9,19.713601762151498,0.20647386931582457,0.22321738329710789,0.9533333977502937,0.3334907501244571
10,10,19.713601762151498,0.20647386931582457,0.22321738329710789,0.9533333977502937,0.3334907501244571
