n,m,total_return,annualized_return,volatility,sharpe,max_drawdown
3,8,7.894241741472674,0.14493256775164398,0.2216204671311023,0.722097696661949,0.3599276867759512
3,9,10.21046898626088,0.16146188565212793,0.22389964906513626,0.781081163745513,0.3458816793771925
3,10,11.960151781956945,0.17194116762466005,0.2250559440266437,0.8181540271747711,0.3347408264064857
4,1,-0.1670145345872296,-0.011253538134236685,0.06924714772749781,-0.12839550132632424,0.34328170540861813
4,2,0.004656301154556175,0.00028774463898262326,0.10731183321622982,0.05666525216966289,0.417548506139984
4,3,0.4026372680176684,0.021175939650007747,0.13275288486368808,0.22444247240806448,0.3827995313894659
4,4,0.5258528741914936,0.02651487513255013,0.15172591580615286,0.24854912921023398,0.38259517315096603
4,5,2.078288025998379,0.07211608472648257,0.17126568386109348,0.4924347885751924,0.37200020957085217
4,6,2.081913689852072,0.07219424627273385,0.19677171364733462,0.453083825703001,0.3843826328249759
4,7,4.648218126785713,0.1131844699345661,0.20608818182473235,0.6238411772996466,0.3836526824889829
4,8,9.820205975734572,0.15891595595097674,0.21310208474516187,0.7992143414535294,0.3518022202924579
4,9,10.868078039178153,0.16556951780281026,0.21588821102959926,0.8182163254838699,0.3378459463585584
4,10,12.472672017402017,0.17475950012503905,0.21719132211756498,0.8507869801188985,0.32677626716059505
5,1,-0.11145647528698333,-0.007291852875362381,0.050070971609586484,-0.12055068387603893,0.1965419647558712
5,2,0.000904371072572685,5.598547438112611e-05,0.08186350152234273,0.042047355592249425,0.270157951247196
5,3,0.17332039819485878,0.009948172931685484,0.10725749828110841,0.14621651508448,0.3306953206520277
5,4,0.14682522225546313,0.008520577162355547,0.12760424091192568,0.13059351426848387,0.3869874465660797
5,5,1.2671030872012707,0.05199804399023078,0.14581343628713875,0.42077070816322043,0.3556578761955455
5,6,1.5931773512616814,0.060789772834039635,0.18420192492393817,0.4128381268129835,0.3446250298035871
5,7,1.7117827312467422,0.06373194711501085,0.190759275587288,0.419636433464175,0.3787937319941607
5,8,3.396811065566232,0.09605059898509927,0.19667449437304474,0.5650707316905063,0.35211761389644236
5,9,3.052178837168735,0.09052386794810174,0.2014080003818159,0.5313625302861361,0.3379196721488118
5,10,2.8702054567855937,0.08742510317041341,0.20629725151024247,0.509890684564328,0.32665830961307885
6,1,-0.015391685359527174,-0.0009601837234641808,0.039732766406934544,-0.003706303907959085,0.11671784401885413
6,2,-0.03734310371839766,-0.0023542336948466636,0.05903015555139183,-0.009946191432681566,0.22663516791254457
6,3,0.04064120496157586,0.002470222374667763,0.07735767174180651,0.07093487270230166,0.2836201955371078
6,4,-0.16419070307116213,-0.011046280961231725,0.10227818412019707,-0.05706980571014123,0.3545820752242571
6,5,0.21616476400348494,0.012193917045628444,0.10890359986669411,0.166087275409711,0.3014422832388353
6,6,1.2827197849471577,0.052445393043359934,0.15994671831763307,0.3998102553086603,0.40262130611550695
6,7,1.8186190034125103,0.06628060113583611,0.1660400343101889,0.46980142916407797,0.3772841574360683
6,8,2.3543489560567457,0.07783380497289949,0.17958751555659774,0.507460445242764,0.36809707534419894
6,9,2.1069774460644157,0.07273221984087219,0.18483425557762082,0.4725495169082122,0.3693142901988967
6,10,1.8978603981792919,0.06811307824358881,0.18980937939551248,0.4424282762538437,0.3662448137485891
7,1,0.06822918171043413,0.004095999437978115,0.024778563984778183,0.17746477739621844,0.05553006441213393
7,2,0.041827716939365045,0.0025409718620206245,0.043981770575272146,0.07983723242629145,0.112644354409433
7,3,0.06471540235449003,0.0038911338178475585,0.061099408782098984,0.09427599096624051,0.2354658909036836
7,4,0.025751337038164346,0.0015758753517081114,0.07128261954492496,0.05782448062754551,0.24825472241988636
7,5,0.25784565246419344,0.014308556691607244,0.07753208223303852,0.2220685441381156,0.24389542689749594
7,6,1.6199334917011452,0.06146436383941878,0.13542109471563762,0.5082100641023329,0.3032920828662397
7,7,2.2201827942546504,0.07511245576174952,0.13883447736919338,0.591119808711458,0.28187988762892396
7,8,1.9093446064400554,0.06837474451059178,0.14688573944762703,0.523858463030233,0.30703226726644617
7,9,1.883519209076006,0.06778494673992053,0.15706537686463196,0.4962232544156375,0.3070322672664464
7,10,1.6613941006098982,0.06249703233245629,0.16304718971418597,0.4535467700036388,0.30703226726644617
8,1,0.03937572865284067,0.0023946809508892386,0.008120795795437669,0.29853217867696785,0.00763457564215464
8,2,-0.023048393693235858,-0.0014430906005006294,0.03442329062607575,-0.024640808115635314,0.12119627200715262
8,3,0.0701588693424251,0.004208238225715366,0.04738383920114509,0.11228664858552971,0.12119627200715262
8,4,0.09716375824349877,0.0057593501098283095,0.047755450820909005,0.14409769397144118,0.12119627200715262
8,5,0.22261813055763469,0.012525728940948166,0.05359974611528353,0.25898960404341104,0.12119627200715262
8,6,1.5413073612747192,0.05946318947007545,0.12269495716190917,0.5320632271624346,0.23468934547990203
8,7,1.6264812423193367,0.06162846496888319,0.12279854766864295,0.5483474385791337,0.23468934547990203
8,8,1.4582033146136997,0.05728389286108282,0.13210545434862245,0.4877802789791999,0.30788366523495897
8,9,1.2700082206907988,0.05208148157405734,0.14108442283911085,0.4304699933013093,0.307883665234959
8,10,1.3085513830293807,0.05317908991735032,0.1411245488841832,0.4377780072081145,0.30788366523495897
9,1,0.0,0.0,0.0,,0.0
9,2,0.0,0.0,0.0,,0.0
9,3,0.0,0.0,0.0,,0.0
9,4,0.0,0.0,0.0,,0.0
9,5,0.0,0.0,0.0,,0.0
9,6,0.0,0.0,0.0,,0.0
9,7,0.0,0.0,0.0,,0.0
9,8,0.0,0.0,0.0,,0.0
9,9,0.0,0.0,0.0,,0.0
9,10,0.0,0.0,0.0,,0.0
10,1,0.0,0.0,0.0,,0.0
10,2,0.0,0.0,0.0,,0.0
10,3,0.0,0.0,0.0,,0.0
10,4,0.0,0.0,0.0,,0.0
10,5,0.0,0.0,0.0,,0.0
10,6,0.0,0.0,0.0,,0.0
10,7,0.0,0.0,0.0,,0.0
10,8,0.0,0.0,0.0,,0.0
10,9,0.0,0.0,0.0,,0.0
10,10,0.0,0.0,0.0,,0.0
